% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.054	1	1	6	5	1	0	85
0.689	1	4	69	10	4	8	85
0.689	1	2	69	10	6	14	157
0.689	1	5	69	10	1	2	26
0.689	1	3	69	10	2	12	125
0.689	1	1	69	10	3	28	469
0.522	1	1	53	3	1	2	137
0.055	1	1	6	6	1	0	85
0.523	1	1	53	4	1	2	137
0.056	1	1	6	7	1	0	85
0.057	1	1	6	8	1	0	85
0.524	1	1	53	5	1	2	137
0.058	1	1	6	9	1	0	85
0.525	1	1	53	6	1	2	137
0.059	1	1	6	10	1	0	85
0.69	1	4	70	1	4	8	85
0.69	1	2	70	1	6	14	157
0.69	1	5	70	1	1	2	26
0.69	1	3	70	1	2	12	125
0.69	1	1	70	1	3	28	469
0.526	1	1	53	7	1	2	137
0.06	1	1	7	1	1	0	85
0.527	1	1	53	8	1	2	137
0.528	1	1	53	9	1	2	137
0.529	1	1	53	10	1	2	137
0.53	1	1	54	1	1	2	137
0.691	1	4	70	2	4	8	85
0.691	1	2	70	2	6	14	157
0.691	1	5	70	2	1	2	26
0.691	1	3	70	2	2	12	125
0.691	1	1	70	2	3	28	469
0.531	1	1	54	2	1	2	137
0.532	1	1	54	3	1	2	137
0.533	1	1	54	4	1	2	137
0.534	1	1	54	5	1	2	137
0.535	1	1	54	6	1	2	137
0.536	1	1	54	7	1	2	137
0.692	1	4	70	3	4	8	85
0.692	1	2	70	3	6	14	157
0.692	1	5	70	3	1	2	26
0.692	1	3	70	3	2	12	125
0.692	1	1	70	3	3	28	469
0.537	1	1	54	8	1	2	137
0.538	1	1	54	9	1	2	137
0.539	1	1	54	10	1	2	137
0.54	1	1	55	1	1	2	137
0.541	1	1	55	2	1	2	137
0.693	1	4	70	4	4	8	85
0.693	1	2	70	4	6	14	157
0.693	1	5	70	4	1	2	26
0.693	1	3	70	4	2	12	125
0.693	1	1	70	4	3	28	469
0.542	1	1	55	3	1	2	137
0.543	1	1	55	4	1	2	137
0.544	1	1	55	5	1	2	137
0.545	1	1	55	6	1	2	137
0.546	1	1	55	7	1	2	137
0.547	1	1	55	8	1	2	137
0.694	1	4	70	5	4	8	85
0.694	1	2	70	5	6	14	157
0.694	1	5	70	5	1	2	26
0.694	1	3	70	5	2	12	125
0.694	1	1	70	5	3	28	469
0.548	1	1	55	9	1	2	137
0.549	1	1	55	10	1	2	137
0.55	1	1	56	1	1	2	137
0.551	1	1	56	2	1	2	137
0.552	1	1	56	3	1	2	137
0.695	1	4	70	6	4	8	85
0.695	1	2	70	6	6	14	157
0.695	1	5	70	6	1	2	26
0.695	1	3	70	6	2	12	125
0.695	1	1	70	6	3	28	469
0.553	1	1	56	4	1	2	137
0.554	1	1	56	5	1	2	137
0.555	1	1	56	6	1	2	137
0.556	1	1	56	7	1	2	137
0.557	1	1	56	8	1	2	137
0.696	1	4	70	7	4	8	85
0.696	1	2	70	7	6	14	157
0.696	1	5	70	7	1	2	26
0.696	1	3	70	7	2	12	125
0.696	1	1	70	7	3	28	469
0.558	1	1	56	9	1	2	137
0.559	1	1	56	10	1	2	137
0.697	1	4	70	8	4	8	85
0.56	1	1	57	1	1	2	137
0.697	1	2	70	8	6	14	157
0.697	1	5	70	8	1	2	26
0.697	1	3	70	8	2	12	125
0.697	1	1	70	8	3	28	469
0.561	1	1	57	2	1	2	137
0.562	1	1	57	3	1	2	137
0.563	1	1	57	4	1	2	137
0.698	1	4	70	9	4	8	85
0.698	1	2	70	9	6	14	157
0.698	1	5	70	9	1	2	26
0.698	1	3	70	9	2	12	125
0.698	1	1	70	9	3	28	469
0.564	1	1	57	5	1	2	137
0.565	1	1	57	6	1	2	137
0.566	1	1	57	7	1	2	137
0.567	1	1	57	8	1	2	137
0.699	1	4	70	10	4	8	85
0.699	1	2	70	10	6	14	157
0.699	1	5	70	10	1	2	26
0.699	1	3	70	10	2	12	125
0.568	1	1	57	9	1	2	137
0.699	1	1	70	10	3	28	469
0.569	1	1	57	10	1	2	137
0.57	1	1	58	1	1	2	137
0.571	1	1	58	2	1	2	137
0.572	1	1	58	3	1	2	137
0.573	1	1	58	4	1	2	137
0.574	1	1	58	5	1	2	137
0.575	1	1	58	6	1	2	137
0.576	1	1	58	7	1	2	137
0.577	1	1	58	8	1	2	137
0.578	1	1	58	9	1	2	137
0.579	1	1	58	10	1	2	137
0.58	1	1	59	1	1	2	137
0.581	1	1	59	2	1	2	137
0.582	1	1	59	3	1	2	137
0.583	1	1	59	4	1	2	137
0.584	1	1	59	5	1	2	137
0.585	1	1	59	6	1	2	137
0.586	1	1	59	7	1	2	137
0.587	1	1	59	8	1	2	137
0.588	1	1	59	9	1	2	137
0.589	1	1	59	10	1	2	137
0.59	1	1	60	1	1	2	137
0.591	1	1	60	2	1	2	137
0.592	1	1	60	3	1	2	137
0.593	1	1	60	4	1	2	137
0.594	1	1	60	5	1	2	137
0.595	1	1	60	6	1	2	137
0.596	1	1	60	7	1	2	137
0.597	1	1	60	8	1	2	137
0.598	1	1	60	9	1	2	137
0.599	1	1	60	10	1	2	137
1.067	1	1	107	8	1	0	85
1.068	1	1	107	9	1	0	85
1.069	1	1	107	10	1	0	85
1.07	1	1	108	1	1	0	85
1.071	1	1	108	2	1	0	85
1.072	1	1	108	3	1	0	85
1.073	1	1	108	4	1	0	85
1.076	1	1	108	7	1	0	85
